Total Timesteps: 3380	 Episode Num: 11	 Reward: -840
Total Timesteps: 3390	 Episode Num: 11	 Reward: -848
Total Timesteps: 3400	 Episode Num: 11	 Reward: -870
Total Timesteps: 3410	 Episode Num: 11	 Reward: -920
Total Timesteps: 3420	 Episode Num: 11	 Reward: -970
Total Timesteps: 3430	 Episode Num: 11	 Reward: -1020
Total Timesteps: 3440	 Episode Num: 11	 Reward: -1070
Total Timesteps: 3450	 Episode Num: 11	 Reward: -1120
Total Timesteps: 3460	 Episode Num: 11	 Reward: -1170
Total Timesteps: 3470	 Episode Num: 11	 Reward: -1220
Total Timesteps: 3480	 Episode Num: 11	 Reward: -1270
Total Timesteps: 3490	 Episode Num: 11	 Reward: -1320
Total Timesteps: 3500	 Episode Num: 11	 Reward: -1370
Total Timesteps: 3510	 Episode Num: 11	 Reward: -1420
Total Timesteps: 3520	 Episode Num: 11	 Reward: -1470
Total Timesteps: 3530	 Episode Num: 11	 Reward: -1520
Total Timesteps: 3540	 Episode Num: 11	 Reward: -1570
Total Timesteps: 3550	 Episode Num: 11	 Reward: -1620
Total Timesteps: 3560	 Episode Num: 11	 Reward: -1670
Total Timesteps: 3570	 Episode Num: 11	 Reward: -1720
Total Timesteps: 3580	 Episode Num: 11	 Reward: -1770
Total Timesteps: 3590	 Episode Num: 11	 Reward: -1820
Total Timesteps: 3600	 Episode Num: 11	 Reward: -1870
Total Timesteps: 3610	 Episode Num: 11	 Reward: -1920
Total Timesteps: 3620	 Episode Num: 11	 Reward: -1907
Total Timesteps: 3630	 Episode Num: 11	 Reward: -1887
Total Timesteps: 3640	 Episode Num: 11	 Reward: -1909
Total Timesteps: 3650	 Episode Num: 11	 Reward: -1959
Total Timesteps: 3660	 Episode Num: 11	 Reward: -2009
Total Timesteps: 3670	 Episode Num: 11	 Reward: -2059
Total Timesteps: 3680	 Episode Num: 11	 Reward: -2109
Total Timesteps: 3690	 Episode Num: 11	 Reward: -2159
Total Timesteps: 3700	 Episode Num: 11	 Reward: -2209
Total Timesteps: 3710	 Episode Num: 11	 Reward: -2259
Total Timesteps: 3720	 Episode Num: 12	 Reward: -35
Total Timesteps: 3730	 Episode Num: 12	 Reward: -85
Total Timesteps: 3740	 Episode Num: 12	 Reward: -135
Total Timesteps: 3750	 Episode Num: 12	 Reward: -185
Total Timesteps: 3760	 Episode Num: 12	 Reward: -235
Total Timesteps: 3770	 Episode Num: 12	 Reward: -285
Total Timesteps: 3780	 Episode Num: 12	 Reward: -335
Total Timesteps: 3790	 Episode Num: 12	 Reward: -385
Total Timesteps: 3800	 Episode Num: 12	 Reward: -435
Total Timesteps: 3810	 Episode Num: 12	 Reward: -485
Total Timesteps: 3820	 Episode Num: 12	 Reward: -535
Total Timesteps: 3830	 Episode Num: 12	 Reward: -585
Total Timesteps: 3840	 Episode Num: 12	 Reward: -635
Total Timesteps: 3850	 Episode Num: 12	 Reward: -685
Total Timesteps: 3860	 Episode Num: 12	 Reward: -735
Total Timesteps: 3870	 Episode Num: 12	 Reward: -785
Total Timesteps: 3880	 Episode Num: 12	 Reward: -835
